4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
-20.324321,-20.742571,-40.438561,-7.611433,-14.834013,-14.161228,-4.694438,-43.035774,-8.227814,-24.311797,-75.48815,-26.437224,10.665614
-76.732862,-68.67426,-20.599649,18.839175,-0.14101,15.168374,-9.756219,10.855141,-28.360696,31.929922,2.596735,-46.182209,-40.608012
4.392342,0.321694,-71.532222,-6.438182,-39.911566,24.85839,6.871489,80.585542,-99.266977,-12.182069,54.914313,-26.075856,-82.659584
24.271406,-29.320042,-55.733127,5.045529,7.114074,-21.386198,15.540975,-21.761189,-41.117799,21.376877,-14.902367,-0.802562,-65.868878
-56.832527,17.041895,-7.139886,6.32394,-69.745936,46.814603,27.351877,-11.224396,-12.679428,-56.070595,-3.889725,55.925283,28.783965
35.76157,1.991348,1.185918,-74.052238,-56.873874,-69.641015,92.59816,-61.303261,-21.629022,27.118613,-9.47874,-1.285103,25.100975
-74.695148,-22.435886,37.151355,-19.024161,-85.494124,9.741401,17.422861,47.736904,-44.774499,-37.206086,-39.745222,-32.253289,-50.975832
-10.950263,18.129584,-52.845051,60.920861,-10.333165,57.378164,6.080877,11.16847,-66.296688,34.257065,-5.325637,54.199464,-22.794147
-15.17172,12.630911,16.999114,5.905451,3.471953,11.955258,28.456774,-109.140067,-35.194901,25.942016,-42.534591,-9.332472,25.359812
-45.833508,-50.603948,-31.389543,35.975236,-37.91257,-3.692311,11.039171,-95.418838,-8.395592,16.324895,-101.592686,25.015413,-20.856813
-20.964841,34.593816,16.35238,-25.396379,-67.052406,11.241604,14.857435,-62.526941,-13.691354,-62.253764,-24.633252,50.519103,-56.986682
-51.183762,31.204557,-23.323771,-16.607393,-60.298027,-60.638841,-23.800337,-89.013877,-62.269299,-3.598862,32.64023,-8.489997,-13.082143
3.696135,25.58973,2.059702,13.867497,-65.179363,-69.598234,11.984655,-118.307868,10.39889,57.96945,-7.237637,15.543365,-19.599673
-47.747659,-56.458731,-28.404672,52.161989,18.001719,-47.733319,-0.495447,9.086063,-77.43122,7.503644,-50.035606,-3.621328,-16.0847
27.091845,40.275324,-80.10324,22.069977,-13.348628,-20.947872,-31.133813,-100.031299,-21.292988,-44.512794,65.895646,31.008338,-43.895218
-28.26175,90.657958,6.473793,-79.184285,-38.809537,28.319827,59.455074,-45.356225,-101.633794,14.996772,41.419895,-65.173866,-4.165292
-57.280891,26.728565,-78.314564,26.404959,-19.657033,-62.319011,5.200162,-66.35596,13.687291,40.292054,-2.33264,21.906023,-17.083242
-63.539106,5.157142,-54.869381,37.355461,-44.908578,46.884152,21.176595,-88.405383,-7.031858,-21.95693,-8.010802,13.015701,14.341434
-70.541567,-30.973683,-107.578202,-36.717092,-40.880233,23.007096,31.832888,-39.587243,-22.205729,-53.185865,8.848497,-4.347171,-92.847915
-84.455669,5.452307,-11.884753,25.032143,-48.61499,-26.890846,14.213569,-88.093727,-2.517865,-63.624429,-19.131711,25.91477,-20.032024
-39.551632,22.628281,-27.26034,84.888737,-24.369157,51.685184,-13.384717,-21.187111,-49.252164,50.361124,-21.783177,99.987084,16.649457
12.216963,-20.645776,29.403931,75.125348,-41.277929,-4.520446,80.861826,-39.343941,17.910421,-64.427469,-61.457655,-15.098825,-32.86728
-105.974034,18.77345,-4.640185,-41.541068,-39.311198,64.949206,19.002412,14.730287,-49.430697,20.045408,-58.231155,0.344877,13.960229
-40.76623,74.523307,9.563107,58.046886,-62.98367,42.332397,-30.315955,-31.548239,-33.918402,-32.123034,-1.564255,51.207423,20.210796
-40.346546,43.974088,-0.201238,27.513441,-49.256466,-9.572906,17.631747,-27.349009,-92.096499,-7.179321,-44.922201,29.335338,-23.827105
8.845151,0.794436,-9.469897,-3.671757,-38.36906,-8.073659,34.59286,23.892113,-58.382203,15.803397,10.045648,36.297408,-13.820175
-37.653494,22.381633,9.231375,0.400803,14.525464,75.371279,20.962929,-67.034481,-31.280081,-46.393007,-66.100469,0.911307,-53.009722
37.810039,8.50123,-17.815777,75.381795,-103.849563,10.769579,-21.946653,-13.681316,2.833584,-33.239164,-37.635569,-15.095479,-1.382615
-106.700594,3.407423,2.630434,-7.417843,-64.215954,11.174923,7.153031,-32.465043,-59.275107,89.202926,-17.549531,-17.665924,-46.679329
